Persona,Size,Percentage,Avg Age,Avg Spending,Avg Frequency,Avg CLV,Loyalty Score,Days Since Purchase
⭐ Big Spenders,489,24.4%,41,"$24,907",5.5,"$66,950",68.8,27
👥 Cluster 1,1511,75.5%,40,"$2,508",5.6,"$6,367",67.9,31
